epoch,train_loss,train_accuracy,train_no_number_accuracy,val_loss,val_accuracy,val_no_number_accuracy,learning_rate
1,3.034897208213806,16.75531914893617,65.0,4.173181957668728,42.06008583690987,0.0,0.0001
2,1.8447471261024475,51.329787234042556,47.5,2.9812505510118275,5.793991416309013,1.8518518518518519,0.00028
3,1.5993657623018538,49.734042553191486,72.5,1.7861698203616672,47.42489270386266,77.77777777777777,0.00045999999999999996
4,1.1625966940607344,64.62765957446808,87.5,1.3076303336355422,23.819742489270386,79.62962962962963,0.00064
5,0.6056334716933114,65.42553191489361,80.0,0.6201478424999449,72.74678111587983,90.74074074074075,0.00082
6,0.38397765372480663,82.44680851063829,87.5,0.8109210597144233,72.3175965665236,92.5925925925926,0.0008190012606065279
7,0.36972626192229135,85.37234042553192,90.0,0.2884932259718577,95.06437768240343,83.33333333333333,0.0008160099081840437
8,0.3988036470753806,77.12765957446808,95.0,0.1150246047311359,94.4206008583691,94.44444444444444,0.0008110405163008602
9,0.22909700657640183,83.77659574468085,95.0,0.3615277682741483,98.71244635193133,88.88888888888889,0.0008041172953347106
10,0.5974785845194545,87.23404255319149,95.0,0.12552126021020943,95.06437768240343,92.5925925925926,0.0007952739745222223
11,0.321227847465447,77.65957446808511,97.5,0.11728073780735333,97.21030042918454,98.14814814814815,0.0007845536376334662
12,0.2483482669506754,93.08510638297872,97.5,0.07526842980749077,99.14163090128756,98.14814814814815,0.00077200851307216
13,0.2429023544703211,88.56382978723404,92.5,0.04837453541242414,97.42489270386267,98.14814814814815,0.0007576997194241344
14,0.20999511650630406,87.5,97.5,0.12374391820695665,94.63519313304721,94.44444444444444,0.0007416969676937283
15,0.16545395020927703,89.36170212765957,95.0,0.04762918967753649,96.56652360515021,96.29629629629629,0.0007240782216787808
16,0.275922954082489,85.37234042553192,100.0,0.05694487991018428,95.70815450643777,98.14814814814815,0.0007049293181388468
17,0.16943628088171994,93.61702127659575,100.0,0.05880040887536274,99.57081545064378,96.29629629629629,0.0006843435486071317
18,0.2203837406954595,96.27659574468085,87.5,0.08363255920509498,98.28326180257511,94.44444444444444,0.0006624212048835197
19,0.07939745991357736,95.47872340425532,100.0,0.03170936026920875,98.28326180257511,98.14814814814815,0.000639269090423006
20,0.06170555470245225,95.74468085106383,97.5,0.054401819930515356,97.21030042918454,96.29629629629629,0.0006149999999999999
21,0.14404478136982238,94.68085106382979,97.5,0.04182806345892863,98.068669527897,96.29629629629629,0.0005897321701835216
22,0.045975412508206706,97.87234042553192,100.0,0.03553947446764343,98.71244635193133,98.14814814814815,0.0005635887033005238
23,0.04350905892040048,96.54255319148936,100.0,0.038226667041372925,98.28326180257511,98.14814814814815,0.0005366969676937283
24,0.18370376021734305,95.74468085106383,100.0,0.1309849779225058,94.4206008583691,92.5925925925926,0.0005091879771958636
25,0.2103184802191598,80.85106382978724,97.5,0.08771202899515629,95.06437768240343,96.29629629629629,0.00048119575284344136
26,0.10393109598330089,92.81914893617021,100.0,0.04602894730245074,98.92703862660944,98.14814814814815,0.0004528566699397378
27,0.16214730071702174,98.13829787234043,100.0,0.05825318561659919,96.56652360515021,96.29629629629629,0.00042430879364802537
28,0.09332702149237905,92.81914893617021,100.0,0.05944516887474391,96.13733905579399,96.29629629629629,0.0003956912063519746
29,0.04719352961650917,96.54255319148936,100.0,0.05929871296717061,96.13733905579399,96.29629629629629,0.00036714333006026206
30,0.07604672254196235,96.54255319148936,97.5,0.04579047175745169,96.78111587982832,98.14814814814815,0.0003388042471565585
31,0.03828498095806156,96.54255319148936,100.0,0.05662853586383992,95.70815450643777,96.29629629629629,0.0003108120228041361
32,0.036505289774920256,96.01063829787235,100.0,0.05212911083880398,96.3519313304721,96.29629629629629,0.00028330303230627153
33,0.07880619075149298,96.27659574468085,100.0,0.04013707426687082,97.63948497854078,96.29629629629629,0.00025641129669947603
34,0.025465650683534995,97.87234042553192,97.5,0.03402326897614532,98.71244635193133,96.29629629629629,0.00023026782981647818
35,0.03265280688979796,98.40425531914893,100.0,0.033452199836675495,98.71244635193133,96.29629629629629,0.00020500000000000005
36,0.04395408196640866,97.6063829787234,97.5,0.032913390301271446,98.71244635193133,98.14814814814815,0.00018073090957699381
37,0.024108486116996834,97.6063829787234,100.0,0.03445351760213574,98.49785407725322,98.14814814814815,0.00015757879511648008
38,0.030936041314687048,97.34042553191489,97.5,0.034462920118433736,98.49785407725322,98.14814814814815,0.0001356564513928681
39,0.02983838432867612,97.34042553191489,100.0,0.03488219603120039,98.49785407725322,98.14814814814815,0.00011507068186115296
40,0.024933834161077226,97.6063829787234,100.0,0.035415658222821854,98.71244635193133,98.14814814814815,9.592177832121906e-05
41,0.029739970141755685,97.34042553191489,100.0,0.03610757814668533,98.71244635193133,96.29629629629629,7.830303230627159e-05
42,0.0275049518261637,97.07446808510639,100.0,0.03517531080999308,98.71244635193133,96.29629629629629,6.230028057586535e-05
43,0.020335875251995667,97.34042553191489,100.0,0.03508012768967698,98.71244635193133,96.29629629629629,4.7991486927840024e-05
44,0.027922260242381265,97.87234042553192,97.5,0.03411152110331588,98.71244635193133,96.29629629629629,3.544636236653369e-05
45,0.014905099091785294,98.67021276595744,100.0,0.03330767150813093,98.71244635193133,96.29629629629629,2.472602547777759e-05
46,0.01795419741288892,98.13829787234043,100.0,0.033327788709559374,98.71244635193133,96.29629629629629,1.5882704665289344e-05
47,0.025226661203695194,98.13829787234043,100.0,0.03388179398866163,98.71244635193133,96.29629629629629,8.959483699139668e-06
48,0.025355801385428225,98.40425531914893,100.0,0.033790226456605725,98.71244635193133,96.29629629629629,3.9900918159561975e-06
49,0.01307557789342744,98.93617021276596,100.0,0.03408303092389057,98.71244635193133,96.29629629629629,9.987393934720791e-07
50,0.0118122907754566,99.20212765957447,100.0,0.034199258687699005,98.71244635193133,96.29629629629629,0.0
